pmcid,file_name,line
3132672,documents_00004.jsonl,37
8764488,documents_00004.jsonl,38
4017227,documents_00004.jsonl,39
4318429,documents_00004.jsonl,40
3788350,documents_00004.jsonl,41
3701149,documents_00004.jsonl,42
5890144,documents_00004.jsonl,43
6004505,documents_00004.jsonl,44
4936600,documents_00004.jsonl,45
4265725,documents_00004.jsonl,46
3334814,documents_00004.jsonl,47
3894920,documents_00004.jsonl,48
4717328,documents_00004.jsonl,49
8172304,documents_00005.jsonl,0
3877773,documents_00005.jsonl,1
6989437,documents_00005.jsonl,2
3780305,documents_00005.jsonl,3
7836234,documents_00005.jsonl,4
8569140,documents_00005.jsonl,5
8318202,documents_00005.jsonl,6
3660406,documents_00005.jsonl,7
7758977,documents_00005.jsonl,8
4416052,documents_00005.jsonl,9
4975394,documents_00005.jsonl,10
4075342,documents_00005.jsonl,11
7430162,documents_00005.jsonl,12
3324921,documents_00005.jsonl,13
2993660,documents_00005.jsonl,14
7156375,documents_00005.jsonl,15
3775427,documents_00005.jsonl,16
3362560,documents_00005.jsonl,17
3539852,documents_00005.jsonl,18
7493988,documents_00005.jsonl,19
6290711,documents_00005.jsonl,20
7005761,documents_00005.jsonl,21
6457314,documents_00005.jsonl,22
4983635,documents_00005.jsonl,23
7057279,documents_00005.jsonl,24
6389716,documents_00005.jsonl,25
6678781,documents_00005.jsonl,26
3913832,documents_00005.jsonl,27
3483694,documents_00005.jsonl,28
6646524,documents_00005.jsonl,29
3791281,documents_00005.jsonl,30
7518235,documents_00005.jsonl,31
6016936,documents_00005.jsonl,32
4319399,documents_00005.jsonl,33
5447679,documents_00005.jsonl,34
8893203,documents_00005.jsonl,35
6688454,documents_00005.jsonl,36
4034409,documents_00005.jsonl,37
7406917,documents_00005.jsonl,38
8379626,documents_00005.jsonl,39
3492343,documents_00005.jsonl,40
2525845,documents_00005.jsonl,41
