pmcid,file_name,line
5324609,documents_00001.jsonl,0
8318202,documents_00001.jsonl,1
5090046,documents_00001.jsonl,2
10634720,documents_00001.jsonl,3
9202476,documents_00001.jsonl,4
4440210,documents_00001.jsonl,5
6175904,documents_00001.jsonl,6
8564184,documents_00001.jsonl,7
3445793,documents_00001.jsonl,8
9454014,documents_00001.jsonl,9
5607552,documents_00001.jsonl,10
5404760,documents_00001.jsonl,11
10641579,documents_00001.jsonl,12
9308012,documents_00001.jsonl,13
7582181,documents_00001.jsonl,14
5243799,documents_00001.jsonl,15
10597625,documents_00001.jsonl,16
6200838,documents_00001.jsonl,17
4961028,documents_00001.jsonl,18
7426775,documents_00001.jsonl,19
7018765,documents_00001.jsonl,20
2241626,documents_00001.jsonl,21
7377905,documents_00001.jsonl,22
4441475,documents_00001.jsonl,23
10348401,documents_00001.jsonl,24
7732671,documents_00001.jsonl,25
5573371,documents_00001.jsonl,26
6327084,documents_00001.jsonl,27
10681641,documents_00001.jsonl,28
8896555,documents_00001.jsonl,29
8233416,documents_00001.jsonl,30
8642429,documents_00001.jsonl,31
5315053,documents_00001.jsonl,32
6664004,documents_00001.jsonl,33
6629544,documents_00001.jsonl,34
6179575,documents_00001.jsonl,35
5633146,documents_00001.jsonl,36
7903062,documents_00001.jsonl,37
5856411,documents_00001.jsonl,38
9496919,documents_00001.jsonl,39
8841593,documents_00001.jsonl,40
8933824,documents_00001.jsonl,41
9887674,documents_00001.jsonl,42
7075880,documents_00001.jsonl,43
4519303,documents_00001.jsonl,44
6238228,documents_00001.jsonl,45
7259775,documents_00001.jsonl,46
6121147,documents_00001.jsonl,47
8699238,documents_00001.jsonl,48
8972312,documents_00001.jsonl,49
9681218,documents_00001.jsonl,50
10684270,documents_00001.jsonl,51
8770773,documents_00001.jsonl,52
5764159,documents_00001.jsonl,53
4938540,documents_00001.jsonl,54
5607140,documents_00001.jsonl,55
9139798,documents_00001.jsonl,56
9997128,documents_00001.jsonl,57
8921471,documents_00001.jsonl,58
6934551,documents_00001.jsonl,59
5548820,documents_00001.jsonl,60
6284029,documents_00001.jsonl,61
4369640,documents_00001.jsonl,62
10198449,documents_00001.jsonl,63
5655021,documents_00001.jsonl,64
5364459,documents_00001.jsonl,65
5612991,documents_00001.jsonl,66
4737127,documents_00001.jsonl,67
7108869,documents_00001.jsonl,68
9356152,documents_00001.jsonl,69
6214650,documents_00001.jsonl,70
6458356,documents_00001.jsonl,71
6917024,documents_00001.jsonl,72
7836232,documents_00001.jsonl,73
7509458,documents_00001.jsonl,74
5935486,documents_00001.jsonl,75
8559501,documents_00001.jsonl,76
6677088,documents_00001.jsonl,77
6548807,documents_00001.jsonl,78
10011534,documents_00001.jsonl,79
8892163,documents_00001.jsonl,80
8386837,documents_00001.jsonl,81
4768083,documents_00001.jsonl,82
6137310,documents_00001.jsonl,83
8891708,documents_00001.jsonl,84
5531216,documents_00001.jsonl,85
6440741,documents_00001.jsonl,86
7268065,documents_00001.jsonl,87
6001266,documents_00001.jsonl,88
5619738,documents_00001.jsonl,89
8134957,documents_00001.jsonl,90
10203811,documents_00001.jsonl,91
5928412,documents_00001.jsonl,92
7029692,documents_00001.jsonl,93
7969530,documents_00001.jsonl,94
5705718,documents_00001.jsonl,95
5660240,documents_00001.jsonl,96
10332630,documents_00001.jsonl,97
4019564,documents_00001.jsonl,98
8519880,documents_00001.jsonl,99
10205072,documents_00001.jsonl,100
10619416,documents_00001.jsonl,101
6193478,documents_00001.jsonl,102
8241439,documents_00001.jsonl,103
9890457,documents_00001.jsonl,104
5488789,documents_00001.jsonl,105
9508096,documents_00001.jsonl,106
6033386,documents_00001.jsonl,107
5387158,documents_00001.jsonl,108
6596197,documents_00001.jsonl,109
7057287,documents_00001.jsonl,110
6277741,documents_00001.jsonl,111
4667066,documents_00001.jsonl,112
7753056,documents_00001.jsonl,113
6787009,documents_00001.jsonl,114
10199409,documents_00001.jsonl,115
3665907,documents_00001.jsonl,116
3272038,documents_00001.jsonl,117
8607164,documents_00001.jsonl,118
3559645,documents_00001.jsonl,119
7008231,documents_00001.jsonl,120
8634076,documents_00001.jsonl,121
8018769,documents_00001.jsonl,122
7500182,documents_00001.jsonl,123
4735713,documents_00001.jsonl,124
11025653,documents_00001.jsonl,125
4063192,documents_00001.jsonl,126
8669024,documents_00001.jsonl,127
4958897,documents_00001.jsonl,128
7080706,documents_00001.jsonl,129
4968823,documents_00001.jsonl,130
7746820,documents_00001.jsonl,131
4938209,documents_00001.jsonl,132
6204485,documents_00001.jsonl,133
5036427,documents_00001.jsonl,134
7304510,documents_00001.jsonl,135
6892816,documents_00001.jsonl,136
6127030,documents_00001.jsonl,137
7882164,documents_00001.jsonl,138
5768588,documents_00001.jsonl,139
10176058,documents_00001.jsonl,140
4658414,documents_00001.jsonl,141
7093320,documents_00001.jsonl,142
6007597,documents_00001.jsonl,143
6024199,documents_00001.jsonl,144
6450666,documents_00001.jsonl,145
5035136,documents_00001.jsonl,146
8236041,documents_00001.jsonl,147
6382927,documents_00001.jsonl,148
6319771,documents_00001.jsonl,149
7978137,documents_00001.jsonl,150
9458571,documents_00001.jsonl,151
6308383,documents_00001.jsonl,152
5845128,documents_00001.jsonl,153
5575101,documents_00001.jsonl,154
8452307,documents_00001.jsonl,155
9633765,documents_00001.jsonl,156
6783415,documents_00001.jsonl,157
8717427,documents_00001.jsonl,158
10318340,documents_00001.jsonl,159
6014584,documents_00001.jsonl,160
8113515,documents_00001.jsonl,161
7268076,documents_00001.jsonl,162
8450202,documents_00001.jsonl,163
5583606,documents_00001.jsonl,164
5624616,documents_00001.jsonl,165
7499173,documents_00001.jsonl,166
7262007,documents_00001.jsonl,167
8933333,documents_00001.jsonl,168
9203582,documents_00001.jsonl,169
5836273,documents_00001.jsonl,170
6969304,documents_00001.jsonl,171
7136019,documents_00001.jsonl,172
6933911,documents_00001.jsonl,173
7004964,documents_00001.jsonl,174
9391365,documents_00001.jsonl,175
7013351,documents_00001.jsonl,176
8784820,documents_00001.jsonl,177
8355471,documents_00001.jsonl,178
7416051,documents_00001.jsonl,179
8533078,documents_00001.jsonl,180
6001642,documents_00001.jsonl,181
7716432,documents_00001.jsonl,182
9839680,documents_00001.jsonl,183
7448163,documents_00001.jsonl,184
7328031,documents_00001.jsonl,185
5962628,documents_00001.jsonl,186
8675057,documents_00001.jsonl,187
6974031,documents_00001.jsonl,188
7917298,documents_00001.jsonl,189
7928384,documents_00001.jsonl,190
4224976,documents_00001.jsonl,191
8558818,documents_00001.jsonl,192
4350407,documents_00001.jsonl,193
5626656,documents_00001.jsonl,194
7165424,documents_00001.jsonl,195
5771263,documents_00001.jsonl,196
10171506,documents_00001.jsonl,197
3366349,documents_00001.jsonl,198
10439709,documents_00001.jsonl,199
6219793,documents_00002.jsonl,0
8975992,documents_00002.jsonl,1
9148994,documents_00002.jsonl,2
7859438,documents_00002.jsonl,3
11078806,documents_00002.jsonl,4
6344321,documents_00002.jsonl,5
8107785,documents_00002.jsonl,6
8421705,documents_00002.jsonl,7
4110030,documents_00002.jsonl,8
4547715,documents_00002.jsonl,9
