project_name,annotator_name,pmcid,group_name,subgroup_name,count,age mean,age minimum,age maximum,age median,diagnosis,female count,male count,publication_year,title
participant_demographics,Jerome_Dockes,3991323,healthy,adolescents,220,14.61,14.0,15.0,,,105.0,115.0,2014,Differential representation of feedback and decision in adolescents and adults
participant_demographics,Jerome_Dockes,4030253,healthy,_,23,15.2,,,,,,,2014,Impaired Frontal-Basal Ganglia Connectivity in Adolescents with Internet Addiction
participant_demographics,joon_hong,4030253,patients,Internet Addiction,18,15.2,,,,Internet Addiction,,,2014,Impaired Frontal-Basal Ganglia Connectivity in Adolescents with Internet Addiction
participant_demographics,Jerome_Dockes,5537800,patients,_,16,46.31,,,,obesity,16.0,,2017,Brain Functional Connectivity Is Modified by a Hypocaloric Mediterranean Diet and Physical Activity in Obese Women
participant_demographics,joon_hong,5537800,patients,obese,16,46.31,35.0,55.0,,obese,16.0,,2017,Brain Functional Connectivity Is Modified by a Hypocaloric Mediterranean Diet and Physical Activity in Obese Women
participant_demographics,Jerome_Dockes,6667657,patients,_,12,,,,,chronic tinnitus,,,2019,Functional Brain Changes During Mindfulness-Based Cognitive Therapy Associated With Tinnitus Severity
participant_demographics,Jerome_Dockes,4589842,patients,_,11,61.0,,,,Depression,6.0,5.0,2015,A preliminary evaluation of the correlation between regional energy phosphates and resting state functional connectivity in depression
participant_demographics,Jerome_Dockes,7002496,healthy,_,20,22.3,19.0,28.0,,,10.0,10.0,2020,Stimulus arousal drives amygdalar responses to emotional expressions across sensory modalities
participant_demographics,Jerome_Dockes,8883821,patients,schizophrenia,28,,21.0,54.0,,schizophrenia,8.0,20.0,2021,Disease-Specific Contribution of Pulvinar Dysfunction to Impaired Emotion Recognition in Schizophrenia
participant_demographics,calvin_surbey,2995581,healthy,_,12,,,,,,,,2010,Face-Specific Resting Functional Connectivity between the Fusiform Gyrus and Posterior Superior Temporal Sulcus
participant_demographics,calvin_surbey,4838249,healthy,_,15,22.33,,,,,,15.0,2016,The Role of the Insular Cortex in Retaliation
participant_demographics,calvin_surbey,7875881,patients,_,19,,18.0,55.0,,,,,2020,Enhanced Functional Connectivity Within Executive Function Network in Remitted or Partially Remitted MDD Patients
participant_demographics,kailu_song,8318202,healthy,young,29,23.8,19.0,30.0,,,19.0,10.0,2020,Age-Related Differences in Auditory Cortex Activity During Spoken Word Recognition
participant_demographics,kailu_song,6528067,healthy,_,10,,,,,,6.0,4.0,2019,Functional Source Separation for EEG-fMRI Fusion: Application to Steady-State Visual Evoked Potentials
participant_demographics,kailu_song,3676955,healthy,_,33,25.3,,,,,16.0,17.0,2013,fMRI Evidence of Acupoints Specificity in Two Adjacent Acupoints
